Construct;websiteArticles;forumDiscussions;books;technicalReports;publishedPapers;theses  ;SUM
app_lifecycle;0;0;0;0;0;0;0
commands_and_async;2;0;4;0;1;0;7
view_interactions;1;0;3;0;0;0;4
navigation;0;0;2;0;0;1;3
formatting_localization;1;0;4;0;0;0;5
view_viewmodel_relationships;0;0;2;0;0;0;2
networking_clientserver;2;0;0;0;1;0;3
viewmodel_abstractions;2;0;3;0;1;0;6
viewmodel_fields;2;0;2;0;0;0;4
viewmodel_responsibilities;1;0;6;0;1;0;8
mvvm_dsl;0;0;1;0;2;0;3
SUM;11;0;27;0;6;1;45
